config_id,ga_orbit,n_tilings,ga_faces,h_faces
900069,11,0,0;4;50,7;9;15;17;21;23;25;29;31;35;37;43;45;53;57;59;67;71
900070,11,0,0;4;50,7;9;15;17;21;23;25;29;31;35;37;43;45;53;57;59;67;69
900071,11,0,0;4;50,7;9;15;17;21;23;25;29;31;35;37;43;45;53;55;57;59;69
900072,11,0,0;4;50,7;9;13;17;19;23;25;27;31;33;41;45;47;53;55;59;67;69
900073,11,0,0;4;50,7;9;13;17;19;23;25;27;31;33;41;45;47;53;55;57;59;69
900074,12,0,0;4;68,9;15;17;19;23;25;29;31;33;35;37;39;43;45;51;53;59;71
900075,12,0,0;4;68,9;15;17;19;21;23;25;29;31;35;37;39;43;45;51;53;59;71
900076,12,0,0;4;68,7;15;19;21;23;25;27;29;31;35;37;39;43;45;51;53;59;71
900077,12,0,0;4;68,7;15;17;19;21;23;25;29;31;35;37;39;43;45;51;53;59;71
900078,12,0,0;4;68,7;13;15;19;21;27;29;33;35;37;41;43;47;49;51;55;63;71
900079,12,0,0;4;68,7;13;15;19;21;27;29;33;35;37;41;43;47;49;51;53;55;71
900080,12,0,0;4;68,7;9;15;17;21;23;25;29;31;35;37;39;43;45;51;53;59;71
900081,13,0,0;16;44,9;13;19;23;25;27;31;39;41;47;49;53;55;59;63;65;67;69
900082,13,0,0;16;44,9;13;19;23;25;27;31;39;41;47;49;51;55;59;63;65;67;69
900083,13,0,0;16;44,3;9;19;23;25;29;31;35;37;39;51;53;57;59;65;67;69;71
900084,13,0,0;16;44,3;9;19;23;25;27;31;35;39;41;47;49;53;55;59;63;67;69
900085,13,0,0;16;44,3;9;13;19;23;25;27;31;39;41;47;49;53;55;59;63;67;69
900086,13,0,0;16;44,3;7;9;21;23;25;29;31;35;37;39;51;53;57;59;65;67;71
900087,13,0,0;16;44,3;7;9;19;23;25;29;31;35;37;39;51;53;57;59;65;67;71
