global_id,class_id,is_visual_rep,r1,r2,r3,r4,r5,r6,r7,r8,r9,n_up,n_ne,n_nw
139,4,0,"nw(3,5)","nw(2,1)","nw(4,1)","nw(2,3)","nw(4,3)","nw(1,5)","nw(5,5)","nw(0,1)","nw(0,3)",0,0,9
140,4,0,"nw(3,5)","nw(2,1)","nw(4,1)","nw(1,3)","nw(3,3)","nw(1,5)","nw(5,5)","nw(5,3)","nw(0,1)",0,0,9
141,4,0,"nw(3,5)","nw(1,1)","nw(3,1)","nw(2,3)","nw(4,3)","nw(1,5)","nw(5,5)","nw(5,1)","nw(0,3)",0,0,9
142,4,0,"nw(3,5)","nw(1,1)","nw(3,1)","nw(1,3)","nw(4,2)","nw(2,4)","nw(5,5)","nw(5,3)","nw(0,0)",0,0,9
143,4,0,"nw(3,5)","nw(1,1)","nw(4,0)","nw(2,2)","nw(3,3)","nw(1,5)","nw(5,1)","nw(5,3)","nw(0,4)",0,0,9
144,4,0,"nw(3,5)","nw(1,1)","nw(4,0)","nw(2,2)","nw(4,2)","nw(2,4)","nw(5,3)","nw(0,0)","nw(0,4)",0,0,9
145,4,0,"ne(2,3)","ne(2,5)","ne(2,1)","ne(4,4)","ne(4,0)","ne(4,2)","ne(0,4)","ne(0,0)","ne(0,2)",0,9,0
146,4,0,"ne(2,3)","ne(2,5)","ne(2,1)","ne(4,4)","ne(4,0)","ne(4,2)","ne(0,3)","ne(0,5)","ne(0,1)",0,9,0
147,4,0,"ne(2,3)","ne(2,5)","ne(2,1)","ne(4,3)","ne(4,5)","ne(4,1)","ne(0,4)","ne(0,0)","ne(0,2)",0,9,0
148,4,0,"ne(2,3)","ne(2,5)","ne(1,2)","ne(3,0)","ne(4,3)","ne(4,1)","ne(5,4)","ne(0,5)","ne(0,1)",0,9,0
149,4,0,"ne(2,3)","ne(1,0)","ne(2,1)","ne(3,4)","ne(4,5)","ne(4,1)","ne(5,2)","ne(0,3)","ne(0,5)",0,9,0
150,4,0,"ne(2,3)","ne(1,0)","ne(1,2)","ne(3,4)","ne(3,0)","ne(4,1)","ne(5,4)","ne(5,2)","ne(0,5)",0,9,0
151,4,0,"ne(1,4)","ne(2,5)","ne(2,1)","ne(3,2)","ne(4,3)","ne(4,5)","ne(5,0)","ne(0,3)","ne(0,1)",0,9,0
152,4,0,"ne(1,4)","ne(2,5)","ne(1,2)","ne(3,0)","ne(3,2)","ne(4,3)","ne(5,4)","ne(5,0)","ne(0,1)",0,9,0
153,4,0,"ne(1,4)","ne(1,0)","ne(2,1)","ne(3,4)","ne(3,2)","ne(4,5)","ne(5,0)","ne(5,2)","ne(0,3)",0,9,0
154,4,0,"ne(1,4)","ne(1,0)","ne(1,2)","ne(3,4)","ne(3,0)","ne(3,2)","ne(5,3)","ne(5,5)","ne(5,1)",0,9,0
155,4,0,"ne(1,4)","ne(1,0)","ne(1,2)","ne(3,3)","ne(3,5)","ne(3,1)","ne(5,4)","ne(5,0)","ne(5,2)",0,9,0
156,4,0,"ne(1,4)","ne(1,0)","ne(1,2)","ne(3,3)","ne(3,5)","ne(3,1)","ne(5,3)","ne(5,5)","ne(5,1)",0,9,0
157,4,0,"nw(2,5)","nw(3,0)","nw(1,2)","nw(3,2)","nw(1,4)","nw(4,3)","nw(5,0)","nw(5,4)","nw(0,1)",0,0,9
158,4,0,"nw(2,5)","nw(3,0)","nw(1,2)","nw(4,1)","nw(2,3)","nw(4,3)","nw(5,4)","nw(0,5)","nw(0,1)",0,0,9
159,4,0,"nw(2,5)","nw(4,5)","nw(2,1)","nw(3,2)","nw(1,4)","nw(4,3)","nw(5,0)","nw(0,1)","nw(0,3)",0,0,9
160,4,0,"nw(2,5)","nw(4,5)","nw(2,1)","nw(4,1)","nw(1,3)","nw(3,3)","nw(5,3)","nw(0,5)","nw(0,1)",0,0,9
161,4,0,"nw(2,5)","nw(4,5)","nw(1,1)","nw(3,1)","nw(2,3)","nw(4,3)","nw(5,1)","nw(0,5)","nw(0,3)",0,0,9
162,4,0,"nw(2,5)","nw(4,5)","nw(1,1)","nw(3,1)","nw(1,3)","nw(3,3)","nw(5,1)","nw(5,3)","nw(0,5)",0,0,9
163,4,0,"nw(1,0)","nw(3,0)","nw(2,2)","nw(4,2)","nw(2,4)","nw(4,4)","nw(5,0)","nw(0,2)","nw(0,4)",0,0,9
164,4,0,"nw(1,0)","nw(3,0)","nw(2,2)","nw(4,2)","nw(1,4)","nw(3,4)","nw(5,0)","nw(5,4)","nw(0,2)",0,0,9
165,4,0,"nw(1,0)","nw(3,0)","nw(1,2)","nw(3,2)","nw(2,4)","nw(4,4)","nw(5,0)","nw(5,2)","nw(0,4)",0,0,9
166,4,0,"nw(1,0)","nw(3,0)","nw(1,2)","nw(4,1)","nw(2,3)","nw(3,4)","nw(5,2)","nw(5,4)","nw(0,5)",0,0,9
167,4,0,"nw(1,0)","nw(4,5)","nw(2,1)","nw(3,2)","nw(1,4)","nw(3,4)","nw(5,0)","nw(5,2)","nw(0,3)",0,0,9
168,4,0,"nw(1,0)","nw(4,5)","nw(2,1)","nw(4,1)","nw(2,3)","nw(3,4)","nw(5,2)","nw(0,5)","nw(0,3)",0,0,9
169,5,0,"up(0,0)","up(0,2)","up(0,4)","up(2,0)","up(2,2)","up(2,4)","ne(0,3)","ne(0,5)","ne(0,1)",6,3,0
170,5,0,"up(0,0)","up(0,2)","up(0,4)","ne(4,3)","ne(4,5)","ne(4,1)","up(4,0)","up(4,2)","up(4,4)",6,3,0
171,5,0,"up(0,0)","up(0,2)","up(0,4)","ne(4,3)","ne(4,5)","ne(4,1)","ne(0,3)","ne(0,5)","ne(0,1)",3,6,0
